Symbol,Description,Price,Price - Currency,"Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Upcoming earnings date
FCEL,"FuelCell Energy, Inc.",16.49,USD,143.21533923303832,-12.935586061246054,0.6101281269066373,7.261890323139615,3701702,7260991.066666661,0.6726511025106683,1318444595.0115924,USD,-29.399054403867968,1.0920037777427987,Electronic technology,2026-12-17
STX,Seagate Technology Holdings PLC,916.83,USD,142.2080152167596,11.05014534883721,1.204300600494534,4.897334916427865,2762045,3805168.7666666666,0.6345739235215788,208480739171.27264,USD,48.4860883797054,34.05518302737166,Electronic technology,2026-10-28
HNGE,"Hinge Health, Inc.",95.57,USD,138.92499999999998,7.021276595744676,3.903022396173069,4.236573042945354,1026708,1856439.7666666666,0.49996199305590483,7711965933.855837,USD,52.99788638226286,49.76497210863696,Technology services,2026-11-03
SHAZ,"SharonAI Holdings, Inc.",54.68,USD,136.30077787381157,-7.619530326068589,-3.04964539007092,7.790952555125956,1212877,1608823.8666666667,0.8571837266707361,1957735697.9971633,USD,494.1029001021249,,Technology services,2026-11-04
OUST,"Ouster, Inc.",43.72,USD,130.10526315789474,20.856945404284733,5.680444766739186,4.858865017644775,2910122,2304221.1333333333,1.289661694261685,3152751213.3333335,USD,55.856087192216606,62.82102218549361,Electronic technology,2026-11-05
COHU,"Cohu, Inc.",67,USD,125.66520714045133,32.75212997820488,5.180533751962319,4.703592750533074,766768,966992.2333333333,0.7505164665369032,3171675002.4803767,USD,38.37481426448737,32.65945915758959,Electronic technology,2026-10-29
NBIS,Nebius Group N.V.,237.33,USD,124.255882075026,10.129930394431561,-2.5258748151798827,6.071564006717572,10958943,17689618.933333334,0.6456192251382564,64519400603.835526,USD,454.04376784015756,460.8857615894147,Technology services,2026-10-22
DDOG,"Datadog, Inc.",268.13,USD,123.44166666666666,21.62297015331579,4.36322590689708,4.207604520195467,5306028,3676508.6,1.67577489415055,96278796195.55713,USD,35.644443369297015,31.520270180659775,Technology services,2026-11-05
BE,Bloom Energy Corporation,288.7,USD,117.08399127753964,34.94437692811068,8.269266829176829,5.522321737839668,17239439,15169474.6,0.8987290561881013,85030042194.01125,USD,165.51682027305216,90.98435328869272,Electronic technology,2026-10-29
DGXX,Digi Power X Inc.,4.59,USD,116.50943396226413,15.61712846347606,1.3245033112582694,5.667911609088121,3569769,2584575.500000008,1.3980750276754526,187740295.17659998,USD,-30.148213240705285,,Technology services,2026-11-17
VRNS,"Varonis Systems, Inc.",46.25,USD,116.22253389434314,14.678899082568813,-3.5453597497393172,3.5942548262548337,1341769,1725938.7000000007,0.684360551583479,5312297342.752867,USD,18.83506502894922,15.860227700414,Technology services,2026-11-02
DRTS,Alpha Tau Medical Ltd.,14.54,USD,113.1964809384164,-1.0884353741496609,-1.5572105619499015,4.39718019257229,432850,588965.0333333333,0.8114145795181602,1344632445.2186866,USD,,,Health technology,2026-11-24
